127.0.0.1 - - [19/May/2024:15:53:30 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2024:15:53:31 -0400] "GET /02-reading-html-data-with-jsp/ HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/May/2024:15:53:31 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/May/2024:15:57:28 -0400] "GET /02-reading-html-data-with-jsp/01-student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:57:44 -0400] "GET /02-reading-html-data-with-jsp/01-student-response.jsp?firstName=Prem&lastName=Katta HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [19/May/2024:15:58:23 -0400] "GET /02-reading-html-data-with-jsp/01-student-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:15:58:31 -0400] "GET /02-reading-html-data-with-jsp/01-student-response.jsp?firstName=Prem&lastName=Katta HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [19/May/2024:15:58:41 -0400] "GET /02-reading-html-data-with-jsp/01-student-response.jsp?firstName=Prem&lastName=Katta HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [19/May/2024:15:59:43 -0400] "GET /02-reading-html-data-with-jsp/01-student-response.jsp?firstName=Prem&lastName=Katta HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [19/May/2024:16:03:08 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:03:32 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 200 643
0:0:0:0:0:0:0:1 - - [19/May/2024:16:03:42 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 200 644
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:48 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:48 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:49 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:49 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:49 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:49 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:50 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:04:54 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html. HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [19/May/2024:16:05:02 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:05:04 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:05:11 -0400] "GET /02-reading-html-data-with-jsp/02-student-dropdown-response.jsp?firstName=Prem&lastName=Katta&country=India HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [19/May/2024:16:10:35 -0400] "GET /02-reading-html-data-with-jsp/04-student-checkbox-form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2024:16:11:18 -0400] "POST /02-reading-html-data-with-jsp/04-student-checkbox-response.jsp HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/May/2024:16:11:36 -0400] "POST /02-reading-html-data-with-jsp/04-student-checkbox-response.jsp HTTP/1.1" 200 687
